date,actual,prediction,error,abs_error,ape_percent
2023-07-14,71472.0,69507.20697104862,-1964.7930289513752,1964.7930289513752,2.74903882492637
2023-07-15,87171.0,82297.87417622215,-4873.125823777853,4873.125823777853,5.5903062070847565
2023-07-16,86170.0,84029.21478409853,-2140.785215901473,2140.785215901473,2.484374162587296
2023-07-17,71894.0,71751.09483813045,-142.9051618695521,142.9051618695521,0.1987720280823881
2023-07-18,64003.0,68343.27383896968,4340.273838969675,4340.273838969675,6.781359997140251
2023-07-19,74024.0,68922.16747193834,-5101.8325280616555,5101.8325280616555,6.892132994787711
2023-07-20,63628.0,65418.44939243663,1790.4493924366325,1790.4493924366325,2.813933162187453
2023-07-21,71721.0,68572.59610242883,-3148.4038975711737,3148.4038975711737,4.389793641431622
2023-07-22,84430.0,81442.51599007004,-2987.4840099299618,2987.4840099299618,3.5384152670022053
2023-07-23,87792.0,82786.49252475251,-5005.50747524749,5005.50747524749,5.701553074593916
2023-07-24,73796.0,72526.74491881406,-1269.25508118594,1269.25508118594,1.719951055864735
2023-07-25,73137.0,69735.99093891731,-3401.0090610826883,3401.0090610826883,4.650189454151371
2023-07-26,74268.0,72440.47782704262,-1827.5221729573823,1827.5221729573823,2.4607127874150136
2023-07-27,63932.0,65425.060291151865,1493.0602911518654,1493.0602911518654,2.3353880547329435
2023-07-28,69378.0,68894.83314101449,-483.16685898551077,483.16685898551077,0.6964266179271682
2023-07-29,78115.0,81870.50990298139,3755.5099029813864,3755.5099029813864,4.807668057327512
2023-07-30,85258.0,82323.78466778943,-2934.2153322105733,2934.2153322105733,3.441571855087585
2023-07-31,68601.0,72838.19058129135,4237.1905812913465,4237.1905812913465,6.176572617441941
2023-08-01,67728.0,69398.80064283403,1670.8006428340304,1670.8006428340304,2.466927478788729
2023-08-02,69365.0,70575.84657898259,1210.846578982586,1210.846578982586,1.7456160585058544
2023-08-03,59898.0,64128.15228471357,4230.152284713571,4230.152284713571,7.062259649259693
2023-08-04,69270.0,67364.60134080223,-1905.3986591977737,1905.3986591977737,2.750683786917531
2023-08-05,81472.0,79526.28444545428,-1945.7155545457208,1945.7155545457208,2.3882015349392685
2023-08-06,83856.0,81724.20918939836,-2131.7908106016403,2131.7908106016403,2.542204267555858
2023-08-07,69733.0,70530.66540992256,797.6654099225561,797.6654099225561,1.1438851188426657
2023-08-08,73879.0,68933.10209981278,-4945.897900187221,4945.897900187221,6.69459237427039
2023-08-09,75594.0,70362.45590719397,-5231.544092806027,5231.544092806027,6.920581121260982
2023-08-10,57443.0,64638.48402614701,7195.484026147009,7195.484026147009,12.526302641134707
2023-08-11,72158.0,67836.27299740819,-4321.7270025918115,4321.7270025918115,5.989255526195032
2023-08-12,82265.0,80361.22850802304,-1903.7714919769642,1903.7714919769642,2.3141937543025155
2023-08-13,84401.0,81839.48070778267,-2561.51929221733,2561.51929221733,3.0349395057135937
2023-08-14,74617.0,71279.93488564815,-3337.065114351848,3337.065114351848,4.4722584858033
